Frames	sa_pro	sa_A	sa_C	sa_buried
1046	12676.94531	12818.17871	351.3419495	492.5753479
1047	12667.62988	12815.62695	347.4476013	495.4446716
1048	12510.875	12670.7373	342.9126587	502.7749634
1049	12652.12891	12831.58008	339.099762	518.5509338
1050	13001.35742	13134.48242	347.9020081	481.0270081
1051	12723.71387	12846.86523	353.5569153	476.7082825
1052	12909.47461	13020.66113	350.8860474	462.0725708
1053	12892.73926	12978.50488	347.7260742	433.4916992
1054	12713.91699	12819.92871	353.9057007	459.9174194
1055	12762.20703	12862.09277	344.8433533	444.7290955
1056	12674.35059	12807.72559	343.1008911	476.4758911
1057	12776.33691	12898.72461	351.5020447	473.88974
1058	12792.2627	12950.99805	359.2122192	517.9475708
1059	12879.04297	13046.86719	351.6721497	519.4963684
1060	12735.19922	12884.50684	354.2442627	503.5518799
1061	12852.15527	12932.58594	334.3125	414.7431641
1062	12707.66797	12792.53418	340.4096985	425.2759094
1063	12990.77246	13079.43555	329.6123962	418.2754822
1064	12945.09766	13039.5957	339.1887207	433.6867676
1065	12712.6748	12791.83887	345.6264954	424.7905579
1066	12810.7373	12952.66309	336.1996765	478.1254578
1067	12373.02148	12539.48633	329.4860229	495.9508667
1068	12743.97949	12857.81934	337.6297302	451.469574
1069	12776.16309	12898.6582	333.645752	456.1408691
1070	12726.4375	12739.67871	350.0345154	363.2757263
1071	12790.7832	12845.61426	331.0512695	385.8823242
1072	12836.86426	12847.73145	342.2016296	353.0688171
1073	12924.77344	12964.69824	346.070343	385.9951477
1074	12679.2627	12764.45703	336.4030151	421.5973511
1075	12813.66992	12849.98633	349.02771	385.3441162
1076	12539.37598	12618.50488	344.2753601	423.4042664
1077	12912.43164	13018.79785	358.7161255	465.0823364
1078	12781.16211	12924.97559	353.7632751	497.5767517
1079	12545.78613	12662.62695	359.1072083	475.9480286
1080	12626.57422	12776.46289	348.6077576	498.4964294
1081	12649.17676	12732.24219	357.7528381	440.8182678
1082	12592.25195	12681.07031	352.8996887	441.7180481
1083	12789.88867	12925.38477	345.4307251	480.9268188
1084	12739.3623	12824.49805	359.8101807	444.9459229
1085	12910.68652	13021.09668	349.4398804	459.8500366
1086	12996.52051	13139.25293	346.4465637	489.1789856
1087	12761.28906	12906.49609	353.6498413	498.8568726
1088	12988.28809	13113.05664	345.190155	469.9587097
